Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),HEATING COIL GAS:Heating Coil Heating Energy [J](Hourly),HEATING COIL GAS:Heating Coil NaturalGas Energy [J](Hourly),HEATING COIL GAS:Heating Coil Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 01/03  11:00:00,4.220833333333334,1.5753023514286085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79113.95456722193,8782303.017593325,10977878.771991652,0.0,0.0,0.0,20.890692128055645,10.384015509036479
 01/03  12:00:00,5.595833333333332,2.231674030517649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62038.63616186477,6886801.507422754,8608501.88427844,0.0,0.0,0.0,20.890674012249474,10.395761792633696
 01/03  13:00:00,6.695833333333334,2.604571732576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52096.48768287801,5783140.83130049,7228926.039125614,0.0,0.0,0.0,20.8907273662165,10.351659932597477
 01/03  14:00:00,7.795833333333334,3.2154770957585208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40169.52935484251,4459149.8528693099,5573937.316086636,0.0,0.0,0.0,20.890803317643493,10.28956819822947
 01/03  15:00:00,8.299999999999999,3.542132096725418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37737.964013879304,4189225.9974858497,5236532.496857312,0.0,0.0,0.0,20.89083827747188,10.26266884559668
 01/03  16:00:00,8.029166666666665,3.3225965373635506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38298.030525258655,4251398.010499818,5314247.5131247709,0.0,0.0,0.0,20.89085608994068,10.251046428858527
 01/03  17:00:00,7.204166666666667,2.791379874869269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39374.87496799931,4370936.646265072,5463670.80783134,0.0,0.0,0.0,20.890872175976268,10.235893563442959
 01/03  18:00:00,6.375,2.3155373023292769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41812.21105927105,4641501.102641435,5801876.378301795,0.0,0.0,0.0,20.890822185414128,10.265166624401344
 01/03  19:00:00,5.829166666666666,2.3262445813059728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45108.091808845325,5007371.113955553,6259213.89244444,0.0,0.0,0.0,20.89067981695313,10.357834602073585
 01/03  20:00:00,5.2749999999999999,2.2582078515603816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46948.45669968106,5211666.831729669,6514583.5396620859,0.0,0.0,0.0,20.890410163124299,10.533374575620578
